time,open,high,low,close
2025-12-17,44224.08,44297.55,44069.75,44099.48
2025-12-18,44108.69,44465.65,44068.14,44463.28
2025-12-19,44412.23,44788.75,44411.75,44757.55
2025-12-22,44733.7,44797.72,44501.15,44593.6
2025-12-23,44552.08,44724.21,44456.59,44606.58
2025-12-29,44659.66,44660.11,44418.38,44436.01
2025-12-30,44431.68,45005.02,44413.16,44944.54
2026-01-02,45000.27,45404.68,44957.01,45374.03
2026-01-05,45682.8,45849.76,45547.46,45847.32
2026-01-06,45990.75,46193.75,45753.35,45753.43
2026-01-07,45778.4,45978.1,45558.68,45558.68
2026-01-08,45426.46,45715.15,45419.75,45671.7
2026-01-09,45757.04,45779.9,45577.19,45719.26
2026-01-12,45547.05,45769.89,45378.08,45732.2
2026-01-13,45759.93,45782,45479.93,45525.1
2026-01-14,45612.76,45791.31,45523.58,45647.4
2026-01-15,45751.63,45926.36,45713.9,45849.77
2026-01-16,45761.84,45822.64,45643.83,45799.69
2026-01-19,45052.48,45394.2,44944.39,45195.89
2026-01-20,44906.03,44930.57,44452.67,44713.46
2026-01-21,44611.2,44675.09,44063.48,44488.36
2026-01-22,44963.78,45187.55,44771.76,45091.23
2026-01-23,44904.78,44984.94,44626.62,44831.6
2026-01-26,44933.54,45092.64,44848.47,44950.32
2026-01-27,45146.92,45524,44990.29,45440.44
2026-01-28,45452.43,45473.06,44904.05,45138.73
2026-01-29,45374.76,45578.19,44985.18,45075.6
2026-01-30,45140.93,45583.54,45138.54,45527.42
2026-02-02,45188.43,46105.3,45104.47,46005.21
2026-02-03,46275.02,46528.48,46214.19,46420.52
2026-02-04,46557.38,47093.98,46493.64,46636.43
2026-02-05,46640.08,46776.38,45587.43,45819.57
2026-02-06,45723.9,45970.15,45420.24,45877.2
2026-02-09,46152.62,46839.02,46145.7,46822.81
2026-02-10,46906.09,46997.16,46633.42,46802.99
2026-02-11,46854.11,46858.22,46225.99,46510.83
2026-02-12,46713.22,46947.73,46117.32,46222.95
2026-02-13,46218.14,46229.08,45114.84,45430.62
